#{"t_start": 1765095606.625736, "env_id": "intersection-v0"}
r,l,t
0.0,6,222.45555
9.0,9,222.723294
1.0,6,222.921444
9.0,9,223.111571
-0.299923,5,223.285826
9.0,9,223.512897
-2.29738,3,223.585237
9.0,9,223.833548
7.562943,10,224.154728
7.615917,9,224.553001
-2.0,4,224.725923
-2.0,3,224.800876
1.0,7,224.948525
-1.84084,4,225.101306
9.0,9,225.321261
7.626732,9,225.576412
8.0,8,225.820891
-1.84084,4,225.960067
0.0,6,226.147007
0.0,6,226.300457
-0.373185,7,226.525496
9.0,10,226.74654
10.0,10,241.122662
0.0,6,241.323523
9.0,9,241.514207
11.0,11,241.805515
3.0,9,242.096214
9.0,9,242.422018
-1.772772,8,242.659222
7.16723,13,243.101366
-1.57953,4,243.271205
10.0,10,243.561062
10.0,10,243.783365
0.0,6,243.925512
9.0,9,244.229607
-1.0,5,244.392316
9.0,9,244.707825
9.0,9,244.927882
-1.0,5,245.076246
9.0,9,245.373277
9.0,9,245.65145
9.0,9,245.83779
-1.379585,5,245.943168
0.0,6,246.196149
8.0,10,246.603248
9.618511,11,246.859626
7.552042,11,247.154339
10.0,10,247.424428
9.0,9,247.715721
-2.0,4,247.878932
9.0,9,248.06527
-1.318719,6,248.339515
8.616025,10,248.577761
-2.0,4,248.768422
6.552042,10,249.0605
8.550311,11,249.409298
-1.0,5,249.528849
-1.57953,4,249.6813
0.0,6,249.863563
0.0,6,250.11882
-1.0,5,250.332786
-2.745505,5,250.517233
9.0,9,250.768716
0.0,6,251.059565
9.0,9,251.374934
-1.299552,4,251.515094
8.0,8,251.786064
9.0,9,252.158594
8.62673,10,252.396775
-2.0,6,252.649943
9.0,9,253.027501
9.0,9,253.428596
9.633112,11,253.65341
10.0,10,253.834707
10.0,10,254.155631
0.0,6,254.328842
-1.0,5,254.429026
-0.57992,5,254.615633
7.306361,10,254.843053
8.0,9,255.180177
8.617423,10,255.509311
-2.0,6,255.715957
9.0,9,256.129691
9.615832,11,256.331702
0.0,6,256.531569
-0.299923,5,256.721467
1.0,7,256.889345
-1.0,5,270.985289
-1.0,5,271.125397
9.0,10,271.504733
-0.299923,5,271.675902
0.0,5,271.825309
9.0,9,272.18527
9.0,9,272.501294
0.0,5,272.700467
-1.0,5,272.842899
-1.0,5,272.975798
-1.0,6,273.120617
7.681208,9,273.379234
10.0,10,273.669172
9.0,9,273.906144
-2.0,4,274.057194
-0.841249,5,274.145128
0.0,6,274.324792
0.0,5,274.472067
8.681208,10,274.719696
-2.458619,7,274.998837
0.0,5,275.14118
9.0,9,275.420398
10.0,10,275.668839
9.0,9,275.948656
9.0,9,276.230147
9.0,10,276.512836
0.0,5,276.6327
-5.0,1,276.675911
7.62673,10,277.063452
8.618513,10,277.294174
0.0,6,277.453589
-4.0,2,277.542905
0.0,6,277.724614
10.0,10,277.946939
0.0,5,278.091984
7.681208,9,278.341192
8.0,8,278.515016
8.0,8,278.793661
6.536747,11,279.133812
9.0,9,279.361181
9.0,9,279.607905
4.0,5,279.784058
0.0,6,279.948552
-5.0,13,280.433049
-2.0,3,280.511236
-2.370348,5,280.643278
8.0,8,280.871909
4.0,6,281.044459
9.0,9,281.294586
9.0,9,281.491831
10.0,10,281.805187
9.0,9,282.064513
9.0,9,282.274142
9.0,9,282.510474
8.0,8,282.689787
10.0,10,282.954236
9.0,9,283.178903
0.0,6,283.472325
-3.393806,10,283.75185
9.0,9,283.963356
9.0,9,284.192497
-3.316297,4,284.363799
10.0,10,284.690176
-1.379585,5,284.896092
8.615844,10,285.188492
9.0,9,285.54223
0.0,6,285.659346
8.0,8,285.901103
9.0,9,300.271298
8.618513,10,300.656455
0.0,6,300.81119
-1.646455,7,301.027618
-0.841249,5,301.182925
0.0,6,301.470171
-2.0,3,301.572595
0.0,6,301.756341
-0.366834,7,301.955009
9.0,9,302.290349
0.0,6,302.495005
9.0,9,302.71859
-1.0,4,302.822888
9.0,9,303.06174
-2.838445,3,303.267391
7.538666,11,303.536978
0.0,6,303.689679
0.0,6,303.864129
-1.0,5,304.036097
9.0,9,304.356402
9.0,9,304.569003
0.0,6,304.769082
0.0,6,304.860717
5.0,6,305.037623
1.0,7,305.236688
10.0,10,305.59291
1.0,7,305.7594
10.0,10,306.076333
10.0,10,306.374163
0.0,6,306.532846
10.0,10,306.731201
9.0,9,307.008268
6.615558,13,307.327357
9.0,9,307.625216
8.0,8,307.795188
0.0,5,307.990413
10.0,10,308.276631
9.0,9,308.468169
-1.0,5,308.610608
9.0,9,309.112225
9.0,9,309.31747
9.0,9,309.618664
0.0,6,309.757213
7.550194,10,310.105478
-1.0,5,310.244455
-1.46327,10,310.701468
9.0,9,310.915149
7.616072,9,311.178579
9.0,9,311.511932
0.0,5,311.657152
10.0,10,312.086166
1.0,7,312.307652
-1.379585,6,312.52605
7.61852,9,312.831967
-1.0,5,313.03276
-1.0,5,313.196689
0.700013,6,313.362386
-1.57953,4,313.558437
-2.444964,6,313.716797
1.0,7,313.904582
9.0,9,314.246317
10.0,10,314.563599
-1.0,5,314.725128
10.0,10,315.025346
10.0,10,315.335922
8.615645,10,315.612397
8.618513,10,315.939987
7.550321,11,330.294898
9.0,9,330.564151
9.0,9,330.886912
9.0,9,331.164728
0.0,6,331.385166
10.0,10,331.706509
0.700013,6,331.89583
-0.299923,5,332.089936
-1.0,5,332.284606
-1.299552,4,332.404459
-1.372771,6,332.576513
10.0,10,332.919025
9.0,9,333.345236
8.0,8,333.678833
8.0,8,333.933606
0.0,5,334.053207
9.0,9,334.265915
9.0,9,334.520351
-1.0,5,334.704543
-2.754779,7,334.854869
9.0,9,335.037123
9.0,10,335.462696
-2.0,4,335.630135
9.0,9,335.761241
9.0,9,336.088384
0.0,6,336.380559
-1.0,5,336.52701
9.0,9,336.788533
9.0,9,336.99733
0.0,5,337.087782
0.0,6,337.239617
-2.0,3,337.384513
0.0,6,337.580109
0.0,6,337.734656
0.0,6,337.946973
0.0,6,338.142491
0.158681,6,338.334175
0.0,6,338.522482
9.0,9,338.712429
9.0,9,338.963982
0.0,6,339.211003
0.0,6,339.404995
0.420014,6,339.591393
9.0,9,339.84452
9.0,9,340.059335
-0.57992,5,340.173047
-0.946861,6,340.365398
9.0,9,340.697703
-1.0,4,340.832134
10.0,10,341.25763
9.62673,11,341.599884
-1.0,5,341.723316
-3.0,3,341.782948
9.0,9,342.059487
0.0,6,342.298328
9.0,9,342.545874
0.0,6,342.674578
8.615844,10,342.995482
9.0,9,343.247962
-1.84084,4,343.408042
0.0,6,343.531007
9.0,9,343.807384
-1.0,5,343.966714
9.0,9,344.269469
10.0,10,344.654894
-1.0,6,344.862061
-1.0,5,345.046868
7.0,10,345.426432
10.0,10,345.749718
9.0,9,346.038667
-1.299552,4,346.209462
9.0,9,360.550199
0.420014,6,360.695555
9.0,9,360.959411
10.0,10,361.203967
10.0,10,361.466923
-0.373185,7,361.70789
-1.0,5,361.823086
-2.0,6,362.002835
0.0,6,362.187914
1.0,7,362.426218
9.0,9,362.665556
-3.0,3,362.772217
-1.57953,4,362.965313
9.0,9,363.271467
10.0,10,363.578886
0.0,5,363.708091
0.0,6,363.874059
1.0,7,364.020152
0.0,6,364.168645
-1.0,5,364.270915
9.0,9,364.468356
-1.0,5,364.633783
9.0,9,364.914474
0.0,5,365.052751
9.0,9,365.277252
-2.0,4,365.454896
-1.960532,5,365.617885
9.0,9,365.845282
10.0,10,366.125446
9.0,9,366.325222
-0.299923,5,366.476494
10.0,10,366.753462
8.0,8,366.989164
8.0,8,367.186917
-1.0,5,367.382082
0.0,5,367.484802
8.633113,10,367.861531
0.0,6,368.046288
-2.0,4,368.16432
0.0,5,368.317941
9.0,9,368.508161
6.539093,10,368.722058
-1.0,5,368.851732
0.0,6,369.040747
0.0,6,369.304908
8.618513,10,369.439495
-1.299552,4,369.558392
0.0,6,369.765777
9.0,9,370.042676
-0.299923,5,370.27548
9.62673,11,370.69302
8.0,8,370.932522
9.0,9,371.309209
8.62673,10,371.596907
-1.0,5,371.711664
10.0,10,372.022666
10.0,10,372.22558
9.0,9,372.571345
1.0,6,372.773586
8.0,8,372.959272
10.0,10,373.22333
10.0,10,373.60003
10.0,10,373.819268
0.0,6,373.973794
9.0,9,374.303883
0.0,5,374.441694
11.0,11,374.631509
10.0,10,374.928242
9.0,9,375.214436
0.0,6,389.335924
0.0,5,389.495535
9.0,9,389.757751
8.0,8,389.972993
8.62673,11,390.219701
10.0,10,390.643655
9.0,9,390.912166
9.0,9,391.238746
9.0,9,391.401909
10.0,10,391.712552
0.0,6,391.85725
-0.841249,5,392.00627
9.0,9,392.277496
10.0,10,392.47991
-2.0,4,392.653745
-1.0,5,392.84724
0.420014,6,393.037851
0.0,6,393.203809
8.0,8,393.408825
7.617435,9,393.682727
-1.0,5,393.832207
10.0,10,394.012807
10.0,10,394.213797
8.0,9,394.394438
0.0,6,394.520841
-1.0,5,394.654134
10.0,10,394.934155
10.0,10,395.321318
10.0,10,395.594822
0.0,6,395.697987
2.0,7,395.816317
9.0,9,396.036393
9.0,9,396.289154
-2.0,4,396.394152
-1.0,5,396.540078
-1.0,4,396.671829
0.0,6,396.806588
9.0,9,396.995753
9.0,9,397.307347
9.0,9,397.507561
10.0,10,397.747974
-0.299923,5,397.937439
9.0,9,398.268208
9.0,9,398.429777
-1.0,5,398.614919
-1.57953,4,398.770522
-1.0,5,399.04303
0.0,6,399.261393
-1.299552,4,399.389204
9.0,9,399.565034
8.615645,10,399.846338
10.0,10,400.116577
0.0,6,400.372083
0.0,5,400.567986
9.0,9,400.857792
10.0,10,401.226978
0.0,6,401.400395
9.0,9,401.783816
8.617423,10,402.016401
9.0,9,402.371443
10.0,10,402.639824
-1.0,5,402.828607
9.0,9,403.041755
9.0,9,403.287163
9.615599,11,403.599365
9.0,9,403.879815
9.0,9,418.262
9.0,9,418.589682
