#{"t_start": 1765078893.5571158, "env_id": "merge-v0"}
r,l,t
24.458482,36,124.252798
19.698477,28,124.479874
22.323148,28,124.708389
23.112307,31,124.963858
28.219087,35,125.284067
27.769081,33,125.523679
28.469087,35,125.851452
27.045131,36,126.113484
28.169087,36,126.366236
24.210559,35,126.624264
21.905013,30,126.845062
27.819087,36,127.078265
27.137354,36,127.331037
27.168864,34,127.613715
22.012027,34,127.869865
26.188977,35,128.135543
23.46087,35,128.43498
26.206568,35,128.728552
28.969075,36,129.012542
27.869087,36,129.268742
28.269087,36,129.529733
23.929901,34,129.795684
28.069087,36,130.071101
24.408618,36,130.325947
26.406568,35,130.622853
16.517413,22,130.80217
26.588665,36,131.064249
26.256187,36,131.321745
25.387303,34,131.624196
28.760657,36,131.801592
23.420579,33,131.958363
27.24242,35,132.207263
26.888977,36,132.918029
27.619087,36,133.09937
29.068775,36,133.310022
22.114321,28,133.469753
28.368376,35,133.72279
28.618775,36,133.920493
27.119086,33,134.134382
25.090724,34,134.331989
23.113582,34,134.551812
13.717522,17,134.653864
19.843708,27,134.803475
28.460657,36,135.000619
25.602329,33,135.231752
24.793006,32,135.428765
28.325241,35,135.656514
24.458617,36,135.87359
26.888977,36,136.069832
26.838977,36,136.265652
28.219087,36,136.45035
24.310869,35,136.666037
27.619087,36,136.853067
25.950033,36,137.061584
28.419061,36,137.252902
22.216914,28,137.419659
27.918775,36,137.630108
22.012027,34,137.822884
27.110657,35,138.055123
27.269778,34,138.264012
18.70481,24,138.399189
28.668376,36,138.582314
20.617531,26,138.744875
27.767531,35,138.990931
27.519087,36,139.178317
27.375241,36,139.365478
28.169087,35,139.612856
28.569027,36,139.7861
28.869087,36,139.973132
28.169087,36,140.162114
23.758618,36,140.474793
23.852441,35,140.785117
28.069087,35,141.058617
27.567531,35,141.296011
24.585697,36,141.547054
28.019087,36,141.798657
23.213579,34,142.062007
28.218512,35,142.317581
28.769087,36,142.60688
26.74955,35,142.910379
27.819087,35,143.285767
28.368065,35,143.619108
22.460871,35,143.953064
28.719087,36,144.260137
25.806568,34,144.655645
28.119086,35,145.062253
24.408607,36,145.405853
28.369087,35,145.730607
26.788977,35,146.077
28.969075,36,146.390432
27.574426,35,146.791671
26.117531,33,147.064647
23.560871,35,148.332403
24.458618,36,148.664391
28.368775,36,148.977538
24.358618,36,149.304991
27.117338,35,149.624035
26.417529,35,149.959931
24.133499,32,150.238973
28.819087,36,150.565361
23.810871,35,150.915371
27.569087,35,151.294574
28.219087,36,151.644409
28.625241,36,151.973521
24.408613,36,152.293744
28.437425,35,152.62226
27.960657,36,152.947538
23.908618,36,153.252608
28.116914,36,153.570462
28.169075,36,153.907814
28.169087,36,154.219296
25.906568,35,154.642479
27.669087,36,154.933776
24.439393,36,155.216363
23.810871,35,155.641449
26.438977,36,155.957353
29.069087,36,156.294478
27.819087,35,156.64969
28.198532,35,156.989875
24.239866,34,157.316401
27.649862,36,157.630397
26.188977,35,157.968132
27.588977,36,158.269314
26.838977,36,158.569794
28.960657,36,158.891758
20.669087,26,159.17593
28.319086,36,159.477103
26.649973,36,159.805937
28.219087,36,160.186808
24.107908,36,160.528191
27.968202,34,160.866103
28.918639,36,161.189751
27.919087,36,161.539205
27.719087,36,161.841085
28.169087,36,162.212454
27.869087,36,162.529257
27.319087,35,162.912527
28.069087,36,163.233104
23.858307,36,163.572165
24.190316,35,163.896564
27.617466,35,164.255899
23.858618,36,164.606116
24.310133,35,164.961565
24.258618,36,165.324281
21.955013,30,165.624935
23.567531,30,165.905792
23.710871,35,166.244917
23.708618,36,166.647913
23.718478,34,167.015643
26.688977,36,167.339891
18.052385,23,168.486631
28.869087,36,168.779029
27.269087,36,169.038173
24.938976,34,169.335767
27.417531,35,169.658126
27.719086,36,169.902114
23.569087,30,170.140922
28.325241,35,170.385058
24.010809,35,170.651487
24.358616,36,170.941384
23.20854,35,171.188575
28.869087,36,171.379592
28.419087,36,171.561599
23.858618,36,171.749715
27.869087,35,172.00921
28.568027,35,172.220348
28.969087,36,172.387963
23.543486,30,172.571603
25.850033,36,172.782688
20.21895,26,172.932204
28.519087,36,173.12021
23.510859,35,173.301855
27.619087,36,173.483536
27.769075,35,173.671282
24.539866,34,173.864077
27.46538,33,174.056934
27.469087,36,174.263918
24.210858,35,174.447513
28.169027,36,174.637864
27.288977,36,174.8442
28.117889,36,175.060419
27.619087,36,175.246491
16.25118,22,175.3692
27.11824,35,175.569623
28.019087,36,175.783942
28.820769,35,175.969774
27.71895,36,176.184643
28.319087,36,176.390559
24.058618,36,176.665959
28.819087,36,176.843268
23.008618,36,177.022599
24.358618,36,177.20191
23.808618,36,177.379438
25.588246,33,177.597422
27.919087,36,177.79346
24.158617,36,178.055924
28.569087,35,178.315588
23.858618,36,178.487839
26.456568,36,178.67428
24.404922,36,178.876769
27.819087,36,179.063584
26.888977,36,179.252488
27.919087,36,179.42753
28.969087,36,179.612078
27.939946,35,179.825622
23.510871,35,180.052122
28.542415,36,180.274617
27.299862,34,180.502873
24.058618,36,180.712556
26.206568,35,181.518805
27.669087,36,181.723229
24.008618,36,181.907361
23.914063,36,182.161929
24.058618,36,182.477739
26.052385,33,182.810184
26.450033,36,183.097313
24.308592,36,183.346336
28.869087,36,183.593898
28.219087,35,183.926541
28.719087,36,184.193288
