#{"t_start": 1765078915.1374779, "env_id": "merge-v0"}
r,l,t
15.874625,19,120.872131
25.667928,31,149.579681
24.839534,33,149.754876
19.913819,23,149.880256
22.469507,32,150.042889
15.586356,18,150.132279
20.541909,26,150.296375
25.578692,33,150.471151
25.450033,34,150.655576
24.347577,31,150.809985
27.571545,34,150.988783
26.264675,33,151.163975
26.606016,33,151.338936
8.210122,9,151.385887
18.937971,23,151.500861
8.813451,10,151.549615
23.268478,34,151.720005
27.068407,33,151.885019
27.49389,32,152.045251
23.100511,34,152.230926
22.920628,33,152.395348
23.654694,34,152.567902
25.538971,34,152.742571
22.766883,35,152.932426
14.124655,18,153.029755
27.269086,34,153.204563
19.735127,25,153.330579
14.63015,17,153.416629
19.208929,26,153.551818
23.510871,35,153.730006
23.414782,34,153.912291
26.716699,33,154.09594
22.816952,29,154.258809
19.97313,26,154.396083
18.683497,24,154.522581
23.818474,34,154.698868
24.992277,31,154.863636
17.732764,22,155.053674
26.198848,36,155.241419
28.797586,35,155.433883
26.511186,35,155.627672
22.128889,28,155.786792
23.720055,33,155.962695
23.769988,32,156.132659
23.618848,31,156.312285
17.272478,22,156.4366
23.114268,33,156.625092
22.896528,27,156.768837
13.696784,17,156.856081
25.819078,30,157.014732
22.150425,32,157.181033
9.677528,11,157.238792
8.207977,9,157.287902
10.992284,14,157.360261
24.460208,32,157.521007
27.569081,35,157.706126
20.723089,26,157.83887
21.259591,27,157.98488
28.02239,35,158.170772
17.051335,20,158.272677
14.964558,20,158.374245
17.417529,22,158.490593
26.069085,32,158.669024
21.136014,28,158.816665
8.90915,10,158.869018
12.479172,14,158.937337
25.617466,30,159.103788
10.218258,12,159.173484
22.376188,29,159.334149
21.417471,28,159.495561
27.166542,33,159.681975
20.666795,25,159.818727
13.43384,17,159.932964
20.460188,26,160.069591
18.217402,22,160.180482
25.890228,34,160.361983
17.956302,23,185.915283
26.365364,33,186.082388
23.697796,35,186.258427
23.86087,35,186.436618
23.16753,29,186.585998
22.866596,33,186.747349
25.542344,32,186.906966
26.225239,31,187.070774
20.083621,27,187.208357
13.016271,15,187.282505
25.81736,34,187.464494
16.804857,21,187.577076
22.572314,31,187.734515
27.172909,34,187.912915
14.263683,17,187.996942
14.708456,20,188.098758
8.200597,9,188.142536
16.056337,19,188.239811
20.004824,26,188.374138
11.692823,13,188.440905
16.322506,21,188.547425
27.119087,33,188.720946
23.810372,30,188.875863
14.79629,19,188.989489
24.253302,36,189.175722
25.713314,33,189.345319
26.418422,35,189.52319
24.917462,32,189.689078
22.625183,29,189.87076
28.613115,36,190.050788
23.870141,33,190.227282
16.110919,20,190.334356
26.310657,31,190.499853
10.169225,11,190.554573
26.197556,31,190.721562
10.447101,13,190.784648
26.118376,32,190.952862
18.479176,23,191.073113
12.958343,17,191.159893
25.243712,33,191.323031
12.907826,17,191.412012
21.082278,28,191.55634
17.947364,20,191.658488
19.440296,25,191.788695
19.589927,24,191.908973
20.272093,26,192.044562
22.622621,29,192.195145
14.214128,18,192.291287
19.780869,25,192.422694
21.322389,26,192.554838
17.210204,21,192.660027
27.216744,34,192.838572
9.106792,11,192.896601
27.619087,35,193.081845
