#{"t_start": 1765075167.74503, "env_id": "highway-v0"}
r,l,t
57.092875,80,1194.250686
62.032931,80,1201.277115
40.836906,58,1229.119965
59.61613,80,1236.194175
55.878339,80,1243.265895
55.930538,80,1250.283229
5.832916,7,1250.897051
57.715432,80,1257.869683
24.120373,32,1260.654847
55.162492,80,1267.601977
29.409678,40,1271.125803
27.216731,36,1274.255197
32.149944,45,1278.221191
14.107145,20,1279.977406
57.39525,80,1286.995266
49.984895,68,1292.922707
37.501814,53,1297.540617
21.881624,32,1300.315992
56.594403,78,1307.26689
5.096281,8,1307.976015
56.554575,80,1315.035041
33.598646,46,1319.10709
6.213464,9,1319.919976
4.493088,6,1320.461161
27.526585,40,1323.977911
8.600451,13,1325.115741
5.726909,7,1325.742622
11.07297,17,1327.257366
56.998211,80,1334.310738
26.120565,36,1337.434842
56.294974,80,1344.490396
22.490313,34,1347.43928
56.136878,80,1354.446883
15.623945,23,1356.457228
59.2198,80,1363.528506
57.131862,80,1370.552632
11.276828,14,1371.806383
21.358654,28,1374.246592
55.802072,80,1381.272019
6.703968,10,1382.163855
3.493683,5,1382.616171
56.770645,80,1389.544834
55.709472,80,1396.560908
54.989029,80,1403.554121
59.712028,80,1433.289348
12.671808,17,1434.810065
56.981549,80,1441.758958
37.332338,54,1446.57896
13.714591,17,1448.078237
31.03323,41,1451.64205
26.120774,38,1455.003331
5.211411,8,1455.696667
57.900362,80,1462.784807
56.566835,80,1469.908945
56.444601,80,1476.945791
40.229727,55,1481.786434
56.795205,80,1488.824558
56.564097,80,1495.848689
49.356838,68,1501.820374
56.358198,80,1508.90382
38.946412,51,1513.40032
58.767883,80,1520.490448
57.445691,80,1527.54967
39.916445,55,1532.322367
26.109374,37,1535.539928
20.149526,27,1537.917107
55.867548,79,1544.87734
55.051986,80,1551.908134
56.576999,80,1558.88565
6.544782,10,1559.781039
56.434108,80,1566.843441
36.906973,52,1571.435825
56.20876,80,1578.403291
20.042194,26,1580.665071
17.200264,24,1582.762612
4.620673,7,1583.388432
42.519214,60,1588.650081
40.197003,57,1593.605261
18.207241,26,1595.85862
60.654121,80,1602.916695
33.277528,45,1606.833717
54.428102,80,1636.610245
56.096085,80,1643.662752
57.2007,80,1650.720152
56.925761,80,1657.83574
49.399777,72,1664.239732
54.94335,80,1671.267377
53.990524,80,1678.331322
55.499551,80,1685.321467
54.566954,80,1692.351931
55.993624,80,1699.316503
55.010695,80,1706.36965
9.412916,14,1707.628966
55.657587,80,1714.606113
7.657337,10,1715.489261
45.260911,67,1721.388237
54.272036,80,1728.340775
55.550339,80,1735.252907
54.79981,80,1742.251617
54.614806,80,1749.229468
55.198788,80,1756.281648
8.165459,13,1757.433949
56.130064,80,1764.480108
56.987708,80,1771.582833
42.389426,61,1776.945233
55.30154,80,1783.995344
44.527278,66,1789.796138
7.119598,10,1790.685374
55.293965,80,1797.748994
54.924769,80,1804.861401
56.709079,80,1834.487565
13.935835,20,1836.262911
14.815221,23,1838.280537
55.237126,80,1845.266979
54.787559,80,1852.276162
54.781441,80,1859.32316
54.433634,80,1866.363077
21.739085,32,1869.189315
55.385656,80,1876.271792
54.987024,80,1883.430667
56.993047,80,1890.557846
11.703609,17,1892.025295
55.321053,80,1898.979888
55.055271,80,1906.041834
56.084438,80,1913.082734
55.738343,80,1920.175655
54.323631,80,1927.242078
55.348008,80,1934.332444
55.128507,80,1941.400661
56.633949,80,1948.414227
54.997428,80,1955.493192
55.168874,80,1962.582101
54.860845,80,1969.595835
26.287262,38,1972.980886
30.588212,44,1976.879893
4.462788,6,1977.415807
54.376126,80,1984.389846
53.967689,79,1991.27536
54.382113,80,1998.276903
54.28405,80,2005.344164
54.577398,80,2012.459512
56.247063,80,2042.251467
54.458846,80,2049.372419
56.382866,80,2056.400078
5.859523,9,2057.214014
56.15465,80,2064.225184
55.14419,80,2071.269867
54.249196,80,2078.337595
56.273743,80,2085.396714
26.115831,36,2088.603653
54.730041,80,2095.800935
56.83458,80,2103.044618
54.97531,80,2110.186432
55.13289,80,2117.222434
55.966799,80,2124.315264
11.508677,17,2125.814768
21.46735,31,2128.553166
56.44998,80,2135.700607
55.73215,80,2142.912889
56.310497,80,2150.183722
5.746867,9,2150.981566
8.055063,12,2152.018575
54.83904,80,2159.046834
55.770006,80,2166.065406
54.21317,80,2173.070436
56.069401,80,2180.327565
56.283746,80,2187.4347
55.332823,80,2194.545339
54.342446,80,2201.673737
55.563548,80,2208.673215
54.797785,80,2215.785458
56.289197,80,2245.922707
54.792971,80,2252.932812
54.090198,80,2260.021456
55.180739,80,2267.198281
54.985203,80,2274.322557
54.57441,80,2281.44401
54.334046,80,2288.436848
53.770777,80,2295.445395
29.803171,43,2299.222548
54.633147,80,2306.243055
54.437443,80,2313.368745
53.900614,80,2320.414198
54.010949,80,2327.494463
54.420227,80,2334.553613
5.969582,9,2335.343839
54.753454,80,2342.38997
54.03764,80,2349.40129
54.170714,80,2356.45661
54.629386,80,2363.460265
54.627598,80,2370.486541
45.970931,69,2376.608017
54.583825,80,2383.648421
55.565419,80,2390.537188
54.597668,80,2397.487326
54.410032,80,2404.433134
54.304108,80,2411.445127
55.488684,80,2418.513308
55.143398,80,2448.447889
54.453135,80,2455.488162
55.215348,80,2462.544117
54.343897,80,2469.605886
55.320752,80,2476.595459
54.385494,80,2483.598098
3.727552,6,2484.134839
3.53651,5,2484.585988
54.744256,80,2491.625574
54.821736,80,2498.719871
54.70314,80,2505.755131
54.881164,80,2512.77194
56.22996,80,2519.776921
55.280607,80,2526.841693
55.033187,80,2534.062166
54.081563,80,2541.192414
55.037438,80,2548.33244
55.96599,80,2555.441368
55.078255,80,2562.452028
55.504055,80,2569.426334
