#{"t_start": 1765095430.307053, "env_id": "intersection-v0"}
r,l,t
9.0,9,184.388747
9.0,9,184.613123
9.0,9,184.822591
8.538961,12,185.255396
8.0,8,185.4349
9.0,9,185.732711
-1.0,5,185.863206
-2.0,3,186.001568
8.0,8,186.273087
-5.0,1,186.30401
-1.0,4,186.391392
9.0,9,186.558736
-1.366575,7,186.714691
0.0,6,186.877705
10.0,10,187.275663
10.0,10,187.665192
8.681208,10,188.015199
1.0,7,188.223456
-2.444964,6,188.375841
9.0,9,188.577914
9.0,9,188.828439
-1.0,5,189.00105
-0.382068,6,189.088069
9.0,9,189.369644
-1.0,5,189.495655
10.0,10,189.853725
8.488254,12,190.160692
7.617435,9,190.417784
9.0,9,190.702063
1.0,7,190.958634
0.0,5,191.155773
-0.57992,5,191.330636
10.0,10,191.706412
-1.0,6,191.858217
8.0,8,195.889311
0.0,6,196.157991
9.0,9,196.409852
1.0,7,196.627867
10.0,10,196.92609
0.0,6,197.04458
10.0,10,197.378108
9.0,9,197.624236
-2.0,4,197.763492
1.158669,7,198.013714
-0.57992,5,198.226088
10.0,10,198.490286
9.0,9,198.674096
0.0,5,198.793535
-2.0,4,198.971561
-1.0,5,199.223395
8.0,8,199.369
1.0,7,199.524262
-0.841249,5,199.627437
-1.318719,6,199.912406
0.0,6,200.084861
-1.0,5,200.294771
9.0,9,200.552581
8.0,8,200.797465
0.0,6,200.992171
9.0,9,201.261825
10.0,10,201.433186
7.460174,13,202.026685
10.0,10,202.272043
9.0,9,202.447101
10.0,10,202.778609
-1.0,5,202.900243
9.0,10,203.194136
9.0,9,203.513529
0.0,6,203.689474
9.0,9,203.916901
-5.0,1,203.987727
-1.0,5,204.089864
0.0,5,204.198233
-2.288439,6,204.437967
0.0,6,204.641525
8.0,8,204.861706
2.287469,11,205.249172
-1.379585,6,205.433813
0.0,6,205.732783
8.0,8,205.966809
-1.0,5,206.1972
9.0,9,206.441532
9.0,9,206.691961
3.0,9,206.955744
0.158681,6,207.130969
10.0,10,207.499876
9.0,10,207.791023
8.681208,10,208.209608
10.0,10,208.575911
9.0,9,208.795329
10.0,10,209.118273
10.0,10,209.411088
0.0,5,209.558144
7.617435,9,209.748059
-1.0,5,209.920682
0.0,6,210.236509
-1.0,5,210.379297
9.0,9,210.697446
0.0,6,210.87045
9.0,9,211.123742
8.618513,10,211.262674
0.158681,6,211.417067
-0.299923,5,214.935101
9.0,9,215.164875
8.616025,10,215.471685
0.0,6,215.691261
7.626732,9,216.056874
9.0,9,216.262197
-1.0,5,216.407728
-1.0,5,216.513231
-1.0,5,216.678272
1.0,7,216.806615
-1.0,5,216.901928
7.617435,9,217.130431
9.0,9,217.421172
0.0,6,217.555089
0.0,6,217.758151
0.633121,8,217.891592
-0.57992,5,218.033644
-3.382507,6,218.218299
9.0,9,218.565861
-1.0,5,218.738937
8.617423,10,218.957958
0.0,6,219.090691
0.0,6,219.341848
8.62673,10,219.614041
9.0,9,219.909352
0.0,6,220.08568
-2.0,4,220.180457
9.0,9,220.349803
0.0,6,220.540902
9.0,9,220.842231
9.0,9,221.163304
0.0,6,221.365548
0.0,6,221.581618
10.0,10,221.766873
-2.0,4,221.854828
7.617435,9,222.103956
9.0,9,222.402536
0.0,6,222.637091
1.158669,7,222.905698
0.0,6,223.055296
9.0,9,223.215441
0.0,6,223.28992
0.0,5,223.453536
9.0,9,223.640132
0.0,5,223.858641
-1.57953,4,223.986809
-1.0,5,224.104084
0.0,5,224.19215
0.0,6,224.375582
-1.0,5,224.433368
8.552805,11,224.830508
9.0,9,225.209376
9.0,9,225.40335
8.0,8,225.774921
1.158669,7,225.914089
0.0,6,226.099169
0.0,6,226.25877
-1.0,5,226.438954
0.0,6,226.593606
-1.57953,4,226.725435
1.0,7,227.020644
-1.0,5,227.178854
10.0,10,227.343416
-1.366575,6,227.657506
0.0,6,227.877489
1.0,6,228.092755
-2.393478,7,228.241926
-1.318719,6,228.453604
9.0,9,228.74415
10.0,10,229.100625
-2.0,4,229.231604
0.0,6,229.399359
8.615645,10,229.717072
-2.0,4,229.900403
0.0,6,233.867833
9.0,9,234.179936
0.0,6,234.35609
7.616072,9,234.810923
10.0,10,235.095398
10.0,10,235.325837
9.0,9,235.509747
0.0,6,235.653331
9.0,9,235.958783
0.0,5,236.197026
-1.0,5,236.39865
10.0,10,236.736043
9.0,9,236.963213
0.0,6,237.126061
-1.57953,4,237.224421
9.0,9,237.471089
10.0,10,237.729573
9.0,9,238.034266
9.0,9,238.336637
8.616025,10,238.810671
8.633113,10,239.038179
0.0,5,239.116778
-0.931455,6,239.286843
9.0,9,239.472669
-2.0,6,239.765832
9.55018,12,240.240226
8.0,8,240.44216
10.0,10,240.67368
10.0,10,240.924787
9.0,9,241.249591
8.617423,10,241.531144
-0.366834,7,241.742241
9.0,9,241.935392
-1.666651,5,242.087559
-1.0,5,242.271805
-0.373185,6,242.411328
8.633113,10,242.760165
8.0,8,243.007721
10.0,10,243.28561
7.61852,9,243.500206
9.0,9,243.785835
2.7,8,243.93259
9.615573,11,244.228968
1.250792,10,244.63075
-1.0,5,244.772276
9.0,9,245.049683
7.616072,9,245.341309
7.617435,9,245.682129
1.0,7,245.839388
-4.0,2,245.893355
9.0,9,246.082583
6.17661,11,246.288561
-1.0,5,246.422974
-1.0,5,246.526012
9.0,9,246.772342
9.0,9,247.019314
-1.0,5,247.221119
9.0,9,247.382461
0.0,5,247.484936
0.0,6,247.589779
8.617423,10,247.861463
-1.299552,4,248.010953
0.0,5,248.200063
9.0,9,248.470229
9.0,9,248.702861
-2.0,4,252.164923
6.523196,13,252.602529
9.0,9,252.836312
9.0,9,253.131722
0.0,6,253.352186
7.287531,10,253.614439
0.0,6,253.78838
-2.0,11,254.131627
0.0,6,254.236058
8.615645,10,254.572655
9.0,9,254.893282
9.0,9,255.080233
-1.0,5,255.178127
7.617435,9,255.311369
-1.208208,6,255.471003
-1.84084,4,255.678915
1.0,7,255.799908
9.0,9,256.071452
-1.0,5,256.27143
8.0,8,256.486988
-2.0,4,256.544217
